date,new_diagnoses,new_deaths
2020-10-01,3,0
2020-10-02,3,0
2020-10-03,0,0
2020-10-04,0,0
2020-10-05,10,0
2020-10-06,2,0
2020-10-07,5,0
2020-10-08,1,0
2020-10-09,2,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,7,0
2020-10-13,3,0
2020-10-14,21,0
2020-10-15,5,0
2020-10-16,4,0
2020-10-17,4,0
2020-10-18,1,0
2020-10-19,4,0
2020-10-20,5,0
2020-10-21,10,0
2020-10-22,9,0
2020-10-23,20,0
2020-10-24,6,0
2020-10-25,4,0
2020-10-26,4,0
2020-10-27,15,0
2020-10-28,10,0
2020-10-29,7,0
2020-10-30,8,0
2020-10-31,8,0
2020-11-01,8,0
2020-11-02,6,0
2020-11-03,5,0
2020-11-04,11,0
2020-11-05,14,0
2020-11-06,25,1
2020-11-07,22,0
2020-11-08,13,0
2020-11-09,4,0
2020-11-10,5,1
2020-11-11,9,0
2020-11-12,9,0
2020-11-13,8,0
2020-11-14,6,0
2020-11-15,8,0
2020-11-16,2,0
2020-11-17,17,0
2020-11-18,18,0
2020-11-19,12,1
2020-11-20,9,1
2020-11-21,11,0
2020-11-22,8,0
2020-11-23,5,0
2020-11-24,12,0
2020-11-25,12,0
2020-11-26,10,0
2020-11-27,14,1
2020-11-28,5,0
2020-11-29,2,0
2020-11-30,1,0
2020-12-01,2,0
2020-12-02,10,1
2020-12-03,12,0
2020-12-04,7,0
2020-12-05,1,0
2020-12-06,1,0
2020-12-07,3,0
2020-12-08,10,0
2020-12-09,5,0
2020-12-10,2,0
2020-12-11,8,0
2020-12-12,5,0
2020-12-13,2,0
2020-12-14,6,0
2020-12-15,8,0
2020-12-16,9,0
2020-12-17,10,0
2020-12-18,14,0
2020-12-19,10,0
2020-12-20,6,0
2020-12-21,9,1
2020-12-22,14,0
2020-12-23,22,0
2020-12-24,8,0
2020-12-25,4,0
2020-12-26,3,0
2020-12-27,3,0
2020-12-28,3,0
2020-12-29,18,0
2020-12-30,24,0
2020-12-31,13,0